A0JLT2,P35558
P09603,P07333
P09603,P01112
P09619,O00459
P09619,P42336
P09619,P01133
P09619,P42338
P09619,P23458
P09619,P12931
P09619,O00329
P09619,P01308
P09619,P27986
P09769,Q14289
P09769,Q08881
P09769,P01112
P09874,P42574
P09919,Q99062
P0C0L4,P20851
P0C0L4,P01024
P0C0L4,P04003
P0C0L5|P0C0L4,P20851
P0C0L5|P0C0L4,P01024
P0C0L5|P0C0L4,P04003
P0C0S5,P24385
P0C0S5,P07288
P0C0S5,P07359
P0C0S5,P01106
P0C1S8,P06493
P0C5Y9,P24385
P0C5Y9,P07288
P0C5Y9,P07359
P0C5Y9,P01106
P0CG47,P56282
P0CG47,Q07864
P0CG47,Q9NRF9
P0CG47,P12004
P0CG47,Q9NR33
P0CG48,P56282
P0CG48,Q07864
P0CG48,Q9NRF9
P0CG48,P12004
P0CG48,Q9NR33
